date,away_team,home_team,away_score,home_score,winner,final_score,total_goals
2024-01-05,Avalanche,Stars,5,4,away,5-4,9
2024-01-05,Lightning,Wild,4,1,away,4-1,5
2024-01-05,Flames,Predators,6,3,away,6-3,9
2024-01-05,Canucks,Blues,1,2,home,1-2,3
2024-01-05,Islanders,Coyotes,5,1,away,5-1,6
2024-01-05,Senators,Kraken,1,4,home,1-4,5
2024-01-05,Panthers,Golden Knights,4,1,away,4-1,5
2024-01-05,Red Wings,Kings,4,3,away,4-3,7
2024-01-05,Jets,Sharks,2,1,away,2-1,3
2024-01-06,Blackhawks,Devils,2,4,home,2-4,6
2024-01-06,Hurricanes,Capitals,6,2,away,6-2,8
2024-01-06,Jets,Ducks,3,1,away,3-1,4
2024-01-06,Flames,Flyers,2,3,home,2-3,5
2024-01-06,Panthers,Avalanche,8,4,away,8-4,12
2024-01-07,Lightning,Bruins,3,7,home,3-7,10
2024-01-07,Wild,Blue Jackets,4,3,away,4-3,7
2024-01-07,Rangers,Canadiens,3,4,home,3-4,7
2024-01-07,Canucks,Devils,6,4,away,6-4,10
2024-01-07,Sabres,Penguins,3,1,away,3-1,4
2024-01-07,Maple Leafs,Sharks,4,1,away,4-1,5
2024-01-07,Blues,Hurricanes,2,1,away,2-1,3
2024-01-07,Predators,Stars,4,3,away,4-3,7
2024-01-07,Senators,Oilers,1,3,home,1-3,4
2024-01-07,Islanders,Golden Knights,2,5,home,2-5,7
2024-01-07,Flames,Blackhawks,3,4,home,3-4,7
2024-01-07,Kings,Capitals,3,4,home,3-4,7
2024-01-08,Jets,Coyotes,6,2,away,6-2,8
2024-01-08,Red Wings,Ducks,3,2,away,3-2,5
2024-01-09,Canucks,Rangers,6,3,away,6-3,9
2024-01-09,Penguins,Flyers,4,1,away,4-1,5
2024-01-09,Stars,Wild,4,0,away,4-0,4
2024-01-09,Bruins,Avalanche,3,4,home,3-4,7
2024-01-10,Kraken,Sabres,5,2,away,5-2,7
2024-01-10,Kings,Lightning,2,3,home,2-3,5
2024-01-10,Sharks,Maple Leafs,1,7,home,1-7,8
2024-01-10,Canucks,Islanders,5,2,away,5-2,7
2024-01-10,Ducks,Predators,5,3,away,5-3,8
2024-01-10,Panthers,Blues,5,1,away,5-1,6
2024-01-10,Blue Jackets,Jets,0,5,home,0-5,5
2024-01-10,Oilers,Blackhawks,2,1,away,2-1,3
2024-01-10,Bruins,Coyotes,3,4,home,3-4,7
2024-01-10,Senators,Flames,3,6,home,3-6,9
2024-01-05,Penguins,Bruins,6,5,away,6-5,11
2024-01-05,Sabres,Canadiens,6,1,away,6-1,7
2024-01-05,Blackhawks,Rangers,1,4,home,1-4,5
2024-01-05,Blue Jackets,Flyers,3,2,away,3-2,5
2024-01-05,Avalanche,Stars,5,4,away,5-4,9
2024-01-05,Lightning,Wild,4,1,away,4-1,5
2024-01-05,Flames,Predators,6,3,away,6-3,9
2024-01-05,Canucks,Blues,1,2,home,1-2,3
2024-01-05,Islanders,Coyotes,5,1,away,5-1,6
2024-01-05,Senators,Kraken,1,4,home,1-4,5
2024-01-05,Panthers,Golden Knights,4,1,away,4-1,5
2024-01-05,Red Wings,Kings,4,3,away,4-3,7
2024-01-05,Jets,Sharks,2,1,away,2-1,3
2024-01-06,Blackhawks,Devils,2,4,home,2-4,6
2024-01-06,Hurricanes,Capitals,6,2,away,6-2,8
2024-01-06,Jets,Ducks,3,1,away,3-1,4
2024-01-06,Flames,Flyers,2,3,home,2-3,5
2024-01-06,Panthers,Avalanche,8,4,away,8-4,12
2024-01-07,Lightning,Bruins,3,7,home,3-7,10
2024-01-07,Wild,Blue Jackets,4,3,away,4-3,7
2024-01-07,Rangers,Canadiens,3,4,home,3-4,7
2024-01-07,Canucks,Devils,6,4,away,6-4,10
2024-01-07,Sabres,Penguins,3,1,away,3-1,4
2024-01-07,Maple Leafs,Sharks,4,1,away,4-1,5
2024-01-07,Blues,Hurricanes,2,1,away,2-1,3
2024-01-07,Predators,Stars,4,3,away,4-3,7
2024-01-07,Senators,Oilers,1,3,home,1-3,4
2024-01-07,Islanders,Golden Knights,2,5,home,2-5,7
2024-01-07,Flames,Blackhawks,3,4,home,3-4,7
2024-01-07,Kings,Capitals,3,4,home,3-4,7
2024-01-08,Jets,Coyotes,6,2,away,6-2,8
2024-01-08,Red Wings,Ducks,3,2,away,3-2,5
2024-01-09,Canucks,Rangers,6,3,away,6-3,9
2024-01-09,Penguins,Flyers,4,1,away,4-1,5
2024-01-09,Stars,Wild,4,0,away,4-0,4
2024-01-09,Bruins,Avalanche,3,4,home,3-4,7
2024-01-10,Kraken,Sabres,5,2,away,5-2,7
2024-01-10,Kings,Lightning,2,3,home,2-3,5
2024-01-10,Sharks,Maple Leafs,1,7,home,1-7,8
2024-01-10,Canucks,Islanders,5,2,away,5-2,7
2024-01-10,Ducks,Predators,5,3,away,5-3,8
2024-01-10,Panthers,Blues,5,1,away,5-1,6
2024-01-10,Blue Jackets,Jets,0,5,home,0-5,5
2024-01-10,Oilers,Blackhawks,2,1,away,2-1,3
2024-01-10,Bruins,Coyotes,3,4,home,3-4,7
2024-01-10,Senators,Flames,3,6,home,3-6,9
2024-01-11,Canadiens,Flyers,2,3,home,2-3,5
2024-01-11,Wild,Stars,2,7,home,2-7,9
2024-01-11,Golden Knights,Avalanche,0,3,home,0-3,3
2024-01-06,Blackhawks,Devils,2,4,home,2-4,6
2024-01-06,Hurricanes,Capitals,6,2,away,6-2,8
2024-01-06,Jets,Ducks,3,1,away,3-1,4
2024-01-06,Flames,Flyers,2,3,home,2-3,5
2024-01-06,Panthers,Avalanche,8,4,away,8-4,12
2024-01-07,Lightning,Bruins,3,7,home,3-7,10
2024-01-07,Wild,Blue Jackets,4,3,away,4-3,7
2024-01-07,Rangers,Canadiens,3,4,home,3-4,7
2024-01-07,Canucks,Devils,6,4,away,6-4,10
2024-01-07,Sabres,Penguins,3,1,away,3-1,4
2024-01-07,Maple Leafs,Sharks,4,1,away,4-1,5
2024-01-07,Blues,Hurricanes,2,1,away,2-1,3
2024-01-07,Predators,Stars,4,3,away,4-3,7
2024-01-07,Senators,Oilers,1,3,home,1-3,4
2024-01-07,Islanders,Golden Knights,2,5,home,2-5,7
2024-01-07,Flames,Blackhawks,3,4,home,3-4,7
2024-01-07,Kings,Capitals,3,4,home,3-4,7
2024-01-08,Jets,Coyotes,6,2,away,6-2,8
2024-01-08,Red Wings,Ducks,3,2,away,3-2,5
2024-01-09,Canucks,Rangers,6,3,away,6-3,9
2024-01-09,Penguins,Flyers,4,1,away,4-1,5
2024-01-09,Stars,Wild,4,0,away,4-0,4
2024-01-09,Bruins,Avalanche,3,4,home,3-4,7
2024-01-10,Kraken,Sabres,5,2,away,5-2,7
2024-01-10,Kings,Lightning,2,3,home,2-3,5
2024-01-10,Sharks,Maple Leafs,1,7,home,1-7,8
2024-01-10,Canucks,Islanders,5,2,away,5-2,7
2024-01-10,Ducks,Predators,5,3,away,5-3,8
2024-01-10,Panthers,Blues,5,1,away,5-1,6
2024-01-10,Blue Jackets,Jets,0,5,home,0-5,5
2024-01-10,Oilers,Blackhawks,2,1,away,2-1,3
2024-01-10,Bruins,Coyotes,3,4,home,3-4,7
2024-01-10,Senators,Flames,3,6,home,3-6,9
2024-01-11,Canadiens,Flyers,2,3,home,2-3,5
2024-01-11,Wild,Stars,2,7,home,2-7,9
2024-01-11,Golden Knights,Avalanche,0,3,home,0-3,3
2024-01-12,Senators,Sabres,3,5,home,3-5,8
2024-01-12,Ducks,Hurricanes,3,6,home,3-6,9
2024-01-12,Oilers,Red Wings,3,2,away,3-2,5
2024-01-12,Kings,Panthers,2,3,home,2-3,5
2024-01-12,Sharks,Canadiens,3,2,away,3-2,5
2024-01-12,Canucks,Penguins,4,3,away,4-3,7
2024-01-12,Devils,Lightning,3,4,home,3-4,7
2024-01-12,Kraken,Capitals,4,1,away,4-1,5
2024-01-12,Maple Leafs,Islanders,3,4,home,3-4,7
2024-01-12,Rangers,Blues,2,5,home,2-5,7
2024-01-12,Blackhawks,Jets,1,2,home,1-2,3
2024-01-12,Flames,Coyotes,6,2,away,6-2,8
2024-01-12,Bruins,Golden Knights,1,2,home,1-2,3
2024-01-06,Flames,Flyers,2,3,home,2-3,5
2024-01-06,Panthers,Avalanche,8,4,away,8-4,12
2024-01-07,Lightning,Bruins,3,7,home,3-7,10
2024-01-07,Wild,Blue Jackets,4,3,away,4-3,7
2024-01-07,Rangers,Canadiens,3,4,home,3-4,7
2024-01-07,Canucks,Devils,6,4,away,6-4,10
2024-01-07,Sabres,Penguins,3,1,away,3-1,4
2024-01-07,Maple Leafs,Sharks,4,1,away,4-1,5
2024-01-07,Blues,Hurricanes,2,1,away,2-1,3
2024-01-07,Predators,Stars,4,3,away,4-3,7
2024-01-07,Senators,Oilers,1,3,home,1-3,4
2024-01-07,Islanders,Golden Knights,2,5,home,2-5,7
2024-01-07,Flames,Blackhawks,3,4,home,3-4,7
2024-01-07,Kings,Capitals,3,4,home,3-4,7
2024-01-08,Jets,Coyotes,6,2,away,6-2,8
2024-01-08,Red Wings,Ducks,3,2,away,3-2,5
2024-01-09,Canucks,Rangers,6,3,away,6-3,9
2024-01-09,Penguins,Flyers,4,1,away,4-1,5
2024-01-09,Stars,Wild,4,0,away,4-0,4
2024-01-09,Bruins,Avalanche,3,4,home,3-4,7
2024-01-10,Kraken,Sabres,5,2,away,5-2,7
2024-01-10,Kings,Lightning,2,3,home,2-3,5
2024-01-10,Sharks,Maple Leafs,1,7,home,1-7,8
2024-01-10,Canucks,Islanders,5,2,away,5-2,7
2024-01-10,Ducks,Predators,5,3,away,5-3,8
2024-01-10,Panthers,Blues,5,1,away,5-1,6
2024-01-10,Blue Jackets,Jets,0,5,home,0-5,5
2024-01-10,Oilers,Blackhawks,2,1,away,2-1,3
2024-01-10,Bruins,Coyotes,3,4,home,3-4,7
2024-01-10,Senators,Flames,3,6,home,3-6,9
2024-01-11,Canadiens,Flyers,2,3,home,2-3,5
2024-01-11,Wild,Stars,2,7,home,2-7,9
2024-01-11,Golden Knights,Avalanche,0,3,home,0-3,3
2024-01-12,Senators,Sabres,3,5,home,3-5,8
2024-01-12,Ducks,Hurricanes,3,6,home,3-6,9
2024-01-12,Oilers,Red Wings,3,2,away,3-2,5
2024-01-12,Kings,Panthers,2,3,home,2-3,5
2024-01-12,Sharks,Canadiens,3,2,away,3-2,5
2024-01-12,Canucks,Penguins,4,3,away,4-3,7
2024-01-12,Devils,Lightning,3,4,home,3-4,7
2024-01-12,Kraken,Capitals,4,1,away,4-1,5
2024-01-12,Maple Leafs,Islanders,3,4,home,3-4,7
2024-01-12,Rangers,Blues,2,5,home,2-5,7
2024-01-12,Blackhawks,Jets,1,2,home,1-2,3
2024-01-12,Flames,Coyotes,6,2,away,6-2,8
2024-01-12,Bruins,Golden Knights,1,2,home,1-2,3
2024-01-13,Predators,Stars,6,3,away,6-3,9
2024-01-13,Flyers,Wild,4,3,away,4-3,7
2024-01-07,Flames,Blackhawks,3,4,home,3-4,7
2024-01-07,Kings,Capitals,3,4,home,3-4,7
2024-01-08,Jets,Coyotes,6,2,away,6-2,8
2024-01-08,Red Wings,Ducks,3,2,away,3-2,5
2024-01-09,Canucks,Rangers,6,3,away,6-3,9
2024-01-09,Penguins,Flyers,4,1,away,4-1,5
2024-01-09,Stars,Wild,4,0,away,4-0,4
2024-01-09,Bruins,Avalanche,3,4,home,3-4,7
2024-01-10,Kraken,Sabres,5,2,away,5-2,7
2024-01-10,Kings,Lightning,2,3,home,2-3,5
2024-01-10,Sharks,Maple Leafs,1,7,home,1-7,8
2024-01-10,Canucks,Islanders,5,2,away,5-2,7
2024-01-10,Ducks,Predators,5,3,away,5-3,8
2024-01-10,Panthers,Blues,5,1,away,5-1,6
2024-01-10,Blue Jackets,Jets,0,5,home,0-5,5
2024-01-10,Oilers,Blackhawks,2,1,away,2-1,3
2024-01-10,Bruins,Coyotes,3,4,home,3-4,7
2024-01-10,Senators,Flames,3,6,home,3-6,9
2024-01-11,Canadiens,Flyers,2,3,home,2-3,5
2024-01-11,Wild,Stars,2,7,home,2-7,9
2024-01-11,Golden Knights,Avalanche,0,3,home,0-3,3
2024-01-12,Senators,Sabres,3,5,home,3-5,8
2024-01-12,Ducks,Hurricanes,3,6,home,3-6,9
2024-01-12,Oilers,Red Wings,3,2,away,3-2,5
2024-01-12,Kings,Panthers,2,3,home,2-3,5
2024-01-12,Sharks,Canadiens,3,2,away,3-2,5
2024-01-12,Canucks,Penguins,4,3,away,4-3,7
2024-01-12,Devils,Lightning,3,4,home,3-4,7
2024-01-12,Kraken,Capitals,4,1,away,4-1,5
2024-01-12,Maple Leafs,Islanders,3,4,home,3-4,7
2024-01-12,Rangers,Blues,2,5,home,2-5,7
2024-01-12,Blackhawks,Jets,1,2,home,1-2,3
2024-01-12,Flames,Coyotes,6,2,away,6-2,8
2024-01-12,Bruins,Golden Knights,1,2,home,1-2,3
2024-01-13,Predators,Stars,6,3,away,6-3,9
2024-01-13,Flyers,Wild,4,3,away,4-3,7
2024-01-13,Rangers,Capitals,2,3,home,2-3,5
2024-01-13,Canucks,Sabres,1,0,away,1-0,1
2024-01-13,Sharks,Senators,4,5,home,4-5,9
2024-01-13,Devils,Panthers,4,1,away,4-1,5
2024-01-14,Penguins,Hurricanes,2,3,home,2-3,5
2024-01-14,Kraken,Blue Jackets,7,4,away,7-4,11
2024-01-14,Kings,Red Wings,3,5,home,3-5,8
2024-01-14,Oilers,Canadiens,2,1,away,2-1,3
2024-01-14,Ducks,Lightning,1,5,home,1-5,6
2024-01-14,Avalanche,Maple Leafs,5,3,away,5-3,8
2024-01-14,Flyers,Jets,2,0,away,2-0,2
2024-01-14,Stars,Blackhawks,3,1,away,3-1,4
2024-01-14,Coyotes,Wild,6,0,away,6-0,6
2024-01-14,Islanders,Predators,1,3,home,1-3,4
2024-01-14,Bruins,Blues,4,3,away,4-3,7
2024-01-14,Flames,Golden Knights,3,1,away,3-1,4
2024-01-09,Canucks,Rangers,6,3,away,6-3,9
2024-01-09,Penguins,Flyers,4,1,away,4-1,5
2024-01-09,Stars,Wild,4,0,away,4-0,4
2024-01-09,Bruins,Avalanche,3,4,home,3-4,7
2024-01-10,Kraken,Sabres,5,2,away,5-2,7
2024-01-10,Kings,Lightning,2,3,home,2-3,5
2024-01-10,Sharks,Maple Leafs,1,7,home,1-7,8
2024-01-10,Canucks,Islanders,5,2,away,5-2,7
2024-01-10,Ducks,Predators,5,3,away,5-3,8
2024-01-10,Panthers,Blues,5,1,away,5-1,6
2024-01-10,Blue Jackets,Jets,0,5,home,0-5,5
2024-01-10,Oilers,Blackhawks,2,1,away,2-1,3
2024-01-10,Bruins,Coyotes,3,4,home,3-4,7
2024-01-10,Senators,Flames,3,6,home,3-6,9
2024-01-11,Canadiens,Flyers,2,3,home,2-3,5
2024-01-11,Wild,Stars,2,7,home,2-7,9
2024-01-11,Golden Knights,Avalanche,0,3,home,0-3,3
2024-01-12,Senators,Sabres,3,5,home,3-5,8
2024-01-12,Ducks,Hurricanes,3,6,home,3-6,9
2024-01-12,Oilers,Red Wings,3,2,away,3-2,5
2024-01-12,Kings,Panthers,2,3,home,2-3,5
2024-01-12,Sharks,Canadiens,3,2,away,3-2,5
2024-01-12,Canucks,Penguins,4,3,away,4-3,7
2024-01-12,Devils,Lightning,3,4,home,3-4,7
2024-01-12,Kraken,Capitals,4,1,away,4-1,5
2024-01-12,Maple Leafs,Islanders,3,4,home,3-4,7
2024-01-12,Rangers,Blues,2,5,home,2-5,7
2024-01-12,Blackhawks,Jets,1,2,home,1-2,3
2024-01-12,Flames,Coyotes,6,2,away,6-2,8
2024-01-12,Bruins,Golden Knights,1,2,home,1-2,3
2024-01-13,Predators,Stars,6,3,away,6-3,9
2024-01-13,Flyers,Wild,4,3,away,4-3,7
2024-01-13,Rangers,Capitals,2,3,home,2-3,5
2024-01-13,Canucks,Sabres,1,0,away,1-0,1
2024-01-13,Sharks,Senators,4,5,home,4-5,9
2024-01-13,Devils,Panthers,4,1,away,4-1,5
2024-01-14,Penguins,Hurricanes,2,3,home,2-3,5
2024-01-14,Kraken,Blue Jackets,7,4,away,7-4,11
2024-01-14,Kings,Red Wings,3,5,home,3-5,8
2024-01-14,Oilers,Canadiens,2,1,away,2-1,3
2024-01-14,Ducks,Lightning,1,5,home,1-5,6
2024-01-14,Avalanche,Maple Leafs,5,3,away,5-3,8
2024-01-14,Flyers,Jets,2,0,away,2-0,2
2024-01-14,Stars,Blackhawks,3,1,away,3-1,4
2024-01-14,Coyotes,Wild,6,0,away,6-0,6
2024-01-14,Islanders,Predators,1,3,home,1-3,4
2024-01-14,Bruins,Blues,4,3,away,4-3,7
2024-01-14,Flames,Golden Knights,3,1,away,3-1,4
2024-01-14,Capitals,Rangers,1,2,home,1-2,3
2024-01-15,Red Wings,Maple Leafs,4,2,away,4-2,6
2024-01-10,Kraken,Sabres,5,2,away,5-2,7
2024-01-10,Kings,Lightning,2,3,home,2-3,5
2024-01-10,Sharks,Maple Leafs,1,7,home,1-7,8
2024-01-10,Canucks,Islanders,5,2,away,5-2,7
2024-01-10,Ducks,Predators,5,3,away,5-3,8
